ASSET_UID,Serial Number
CGCON-GLDROO-00496,496
CGCON-GLDROO-00523,523
CGCON-GLDROO-00524,524
CGCON-GLDROO-00525,525
CGCON-GLDROO-00537,537
CGCON-GLDROO-00538,538
CGCON-GLDROO-00559,559
CGCON-GLDROO-00560,560
CGCON-GLDROO-00561,561
CGCON-GWFPGX-10401,ML13104-01
CGCON-GWFPGX-10402,ML13104-02
CGCON-GWFPGX-10403,ML13104-03
CGCON-GWFPGX-10404,ML13104-04
CGCON-GWFPGX-10405,ML13104-05
CGCON-GWFPGX-10406,ML13104-06
CGCON-GWFPGX-10407,ML13104-07
CGCON-GWFPGX-45201,ML13452-01
CGCON-GWFPGX-45202,ML13452-02
CGCON-GWFPGX-45203,ML13452-03
CGCON-GWFPGX-45204,ML13452-04
CGCON-GWFPGX-77401,ML12774-01
CGCON-GWFPGX-93602,ML12936-02
CGCON-GWFPGX-99701,ML12997-01
CGCON-MCPM03-00001,1
CGCON-MCPM03-00002,2
CGCON-MCPM03-00003,3
CGCON-MCPM03-00004,4
CGCON-MCPM03-00005,3703-00275-0005
CGCON-MCPM03-00006,6
CGCON-MCPM03-00007,7
CGCON-MCPM03-00008,8
CGCON-MCPM03-00009,9
CGCON-MCPM03-00010,10
CGCON-MCPM03-00011,11
CGCON-MCPM03-00012,12
CGCON-MCPM03-00013,13
CGCON-MCPM03-00014,14
CGCON-MCPM03-00015,15
CGCON-MCPM03-00016,16
CGCON-MCPM03-00019,19
CGCON-MCPM03-50001,2015-0001
CGCON-MCPM03-50004,2015-0004
CGCON-MCPM03-50005,2015-0005
CGCON-MDCL35-00001,3703-00292-0001
CGCON-MDCL35-00002,2
CGCON-MDCL35-00003,3
CGCON-MDCL35-00005,5
CGCON-MDCL35-00006,6
CGCON-MDCL35-00007,7
CGCON-MDCL35-00008,8
CGCON-MDCL35-00009,9
CGCON-MDCL35-00010,3703-00292-0010
CGCON-MDCL35-00011,11
CGCON-MDCL35-00012,12
CGCON-MDCL35-00013,13
CGCON-MDCL35-00014,14
CGCON-MDCL35-00016,16
CGCON-MDCL35-00023,23
CGCON-MDCL35-00032,32
CGCON-MDCL35-00034,34
CGCON-MDCL35-00040,40
CGCON-MDCL35-00041,41
CGCON-MDCL35-00045,45
CGCON-MDCL35-00050,50
CGCON-MDCL36-00001,3703-00292-0001
CGCON-MDCL36-00005,5
CGCON-MDCL36-00009,9
CGCON-MDCL36-00010,3703-00292-0010
CGCON-MDCL36-00014,14
CGCON-MDCL36-00020,20
CGCON-MDCL36-00021,21
CGCON-MDCL36-00025,25
CGCON-MDCL36-00037,37
CGCON-MDCL36-00038,38
CGCON-MDCL36-00042,42
CGCON-MDCL36-00048,48
CGCON-MDCL36-00051,51
CGCON-MDCL37-00001,1
CGCON-MDCL37-00002,2
CGCON-MDCL37-00003,3
CGCON-MDCL37-00004,3703-00275-0004
CGCON-MDCL37-00005,3703-00275-0005
CGCON-MDCL37-00006,6
CGCON-MDCL37-00007,7
CGCON-MDCL37-00008,8
CGCON-MDCL37-00010,10
CGCON-MDCL37-00011,11
CGCON-MDCL37-00012,12
CGCON-MDCL37-00013,13
CGCON-MDCL37-00014,14
CGCON-MDCL37-00015,15
CGCON-MDCL37-00016,16
CGCON-MDCL37-00019,19
CGCON-NCPM02-00001,1
CGCON-NCPM02-00002,3703-00274-0002
CGCON-NCPM02-00003,3703-00274-0003
CGCON-NCPM02-00004,4
CGCON-NCPM02-00005,5
CGCON-NCPM02-00006,6
CGCON-NCPM02-00007,3703-00274-0007
CGCON-NCPM02-00008,8
CGCON-NCPM02-00009,9
CGCON-NCPM02-00010,10
CGCON-NCPM02-00011,11
CGCON-NCPM02-00012,12
CGCON-NCPM02-00013,13
CGCON-NCPM02-00014,14
CGCON-NCPM02-00015,15
CGCON-NCPM02-00016,16
CGCON-NCPM02-00017,17
CGCON-NCPM02-00018,18
CGCON-NCPM02-15008,8
CGCON-NCPM02-50001,2015-0001
CGCON-NCPM02-50004,2015-0004
CGCON-NCPM02-50005,2015-0005
CGCON-NDCL16-00001,1
CGCON-NDCL16-00002,2
CGCON-NDCL16-00009,9
CGCON-NDCL16-00010,3703-00272-0010
CGCON-NDCL16-00012,12
CGCON-NDCL16-00013,13
CGCON-NDCL16-00014,14
CGCON-NDCL16-00016,16
CGCON-NDCL16-00017,17
CGCON-NDCL16-00020,20
CGCON-NDCL16-00022,22
CGCON-NDCL16-00026,26
CGCON-NDCL16-00030,36
CGCON-NDCL16-00033,33
CGCON-NDCL16-00035,35
CGCON-NDCL16-00036,36
CGCON-NDCL16-00043,43
CGCON-NDCL26-00002,2
CGCON-NDCL26-00004,4
CGCON-NDCL26-00006,6
CGCON-NDCL26-00007,7
CGCON-NDCL26-00009,9
CGCON-NDCL26-00010,3703-00272-0010
CGCON-NDCL26-00011,11
CGCON-NDCL26-00013,13
CGCON-NDCL26-00014,3703-00272-0014
CGCON-NDCL26-00015,15
CGCON-NDCL26-00016,16
CGCON-NDCL26-00017,3703-00272-0017
CGCON-NDCL26-00018,18
CGCON-NDCL26-00020,20
CGCON-NDCL26-00021,21
CGCON-NDCL26-00023,23
CGCON-NDCL26-00024,24
CGCON-NDCL26-00025,25
CGCON-NDCL26-00026,26
CGCON-NDCL26-00027,27
CGCON-NDCL26-00029,29
CGCON-NDCL26-00031,31
CGCON-NDCL26-00032,32
CGCON-NDCL26-00034,34
CGCON-NDCL26-00037,37
CGCON-NDCL26-00039,39
CGCON-NDCL26-00040,40
CGCON-NDCL26-00047,47
CGCON-NDCL26-00052,52
CGCON-NDCL27-00001,1
CGCON-NDCL27-00002,3703-00274-0002
CGCON-NDCL27-00003,3703-00274-0003
CGCON-NDCL27-00004,4
CGCON-NDCL27-00005,5
CGCON-NDCL27-00006,6
CGCON-NDCL27-00007,7
CGCON-NDCL27-00008,8
CGCON-NDCL27-00009,9
CGCON-NDCL27-00010,10
CGCON-NDCL27-00011,11
CGCON-NDCL27-00012,12
CGCON-NDCL27-00013,13
CGCON-NDCL27-00014,14
CGCON-NDCL27-00015,15
CGCON-NDCL27-00016,16
CGCON-NDCL27-00017,17
CGCON-NDCL27-00018,18
CGCON-SIOCON-00018,18
CGCON-SIOCON-00019,19
CGCON-SIOCON-00023,23
CGCON-SIOCON-00027,27
CGCON-SIOCON-10118,10118
CGCON-SIOCON-11690,11690
CGCON-SIOCON-12365,12365
CGCON-SIOCON-12368,12368
CGCON-SIOCON-12369,12369
CGCON-SIOCON-12371,12371
CGCON-SIOCON-12372,12372 ID 01
CGCON-SIOCON-13278,13278
CGCON-SIOCON-13279,13279
CGCON-SIOCON-13280,13280
CGCON-SIOCON-13282,13282
CGCON-SIOCON-13283,13283
CGCON-SIOCON-13284,13284
CGCON-SIOCON-13285,13285
CGCON-SIOCON-13987,13987
CGCON-SIOCON-13988,13988
CGCON-SIOCON-13990,13990
CGCON-SIOCON-13992,13992
CGCON-SIOCON-13993,13993 / 10
CGCON-SIOCON-13994,13994
CGCON-SIOCON-14871,14871
CGCON-SIOCON-14874,14874
CGCON-SIOCON-14875,14875
CGCON-SIOCON-14876,14876
CGCON-SIOCON-14877,14877
CGCON-SIOCON-14878,14878
CGCON-SIOCON-14879,14879
CGCON-SIOCON-14880,14880
CGCON-SIOCON-14881,14881
CGCON-SIOCON-14882,14882
CGCON-SIOCON-14883,14883
CGCON-SIOCON-14884,14884
CGCON-SIOCON-14885,14885
CGCON-SIOCON-28614,13286 / 14
CGCON-SIOCON-32771,13277 / 1
CGCON-SIOCON-32809,13280 / 9
CGCON-SIOCON-98925,13989 / 25
CGCON-SIOCON-99128,13991 / 28
CGCON-SIOCON-99324,13993 / 24
CGCON-SIOCON-99421,13994 / 21
CGCON-SIOCON-99520,13995 / 20
CGCON-SIOCON-99706,13997 / 06
