       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
     88.000     5.0974     5.0978   3.348137   3.348393     2.4948    -0.2314     0.3952    34.8810 7.1203e+02     87.140    34.8810    34.8836     6.4686    1472.42    27.5704    27.5723
     89.000     5.0759     5.0751   3.345846   3.346218     2.4895    -0.2402     0.4017    34.8808 7.1110e+02     88.130    34.8764    34.8816     6.4561    1472.34    27.5693    27.5735
     90.000     5.0429     5.0422   3.342953   3.343168     2.4872    -0.2506     0.3970    34.8795 7.1377e+02     89.120    34.8770    34.8802     6.4550    1472.22    27.5736    27.5762
     91.000     5.0374     5.0375   3.342421   3.342756     2.4856    -0.2617     0.3942    34.8788 7.1449e+02     90.110    34.8760    34.8798     6.4515    1472.22    27.5734    27.5764
     92.000     5.0284     5.0287   3.341609   3.341917     2.4841    -0.2644     0.4203    34.8778 7.1410e+02     91.100    34.8755    34.8787     6.4490    1472.20    27.5741    27.5766
     93.000     5.0314     5.0318   3.341885   3.342237     2.4818    -0.2550     0.4218    34.8767 7.1666e+02     92.090    34.8751    34.8787     6.4419    1472.22    27.5735    27.5763
     94.000     5.0230     5.0226   3.341350   3.341509     2.4810    -0.2678     0.3954    34.8780 7.1859e+02     93.080    34.8771    34.8793     6.4415    1472.21    27.5760    27.5778
     95.000     5.0238     5.0291   3.341599   3.342255     2.4805    -0.2658     0.3995    34.8787 7.2275e+02     94.070    34.8787    34.8807     6.4404    1472.23    27.5772    27.5781
     96.000     5.0609     5.0595   3.345999   3.345843     2.4843    -0.2523     0.4287    34.8868 7.2307e+02     95.060    34.8903    34.8899     6.4468    1472.41    27.5821    27.5819
     97.000     5.0808     5.0878   3.347821   3.348961     2.4888    -0.2526     0.4207    34.8894 7.2284e+02     96.050    34.8900    34.8958     6.4592    1472.51    27.5795    27.5833
     98.000     5.0970     5.1031   3.350195   3.350651     2.4928    -0.2297     0.3903    34.8950 7.2627e+02     97.040    34.9000    34.8988     6.4698    1472.60    27.5856    27.5839
     99.000     5.1392     5.1358   3.355003   3.354431     2.4950    -0.2172     0.4042    34.9029 7.2513e+02     98.030    34.9109    34.9078     6.4702    1472.81    27.5892    27.5872
    100.000     5.1762     5.1756   3.358417   3.358538     2.4974    -0.2072     0.4036    34.9076 7.2459e+02     99.020    34.9111    34.9131     6.4727    1472.97    27.5850    27.5867
    101.000     5.1723     5.1840   3.357972   3.359482     2.5016    -0.2141     0.3978    34.9077 7.3138e+02    100.010    34.9095    34.9147     6.4881    1472.97    27.5843    27.5870
    102.000     5.1997     5.2039   3.361191   3.361634     2.5034    -0.1852     0.4043    34.9139 7.2303e+02    101.000    34.9175    34.9182     6.4897    1473.11    27.5873    27.5874
    103.000     5.2105     5.2057   3.362924   3.362259     2.5044    -0.2062     0.4052    34.9187 7.1959e+02    101.990    34.9256    34.9230     6.4915    1473.18    27.5925    27.5910
    104.000     5.2389     5.2382   3.365411   3.365532     2.5057    -0.2230     0.4013    34.9211 7.2062e+02    102.980    34.9241    34.9263     6.4919    1473.31    27.5879    27.5898
    105.000     5.2261     5.2272   3.364010   3.364362     2.5070    -0.2309     0.4006    34.9196 7.3319e+02    103.970    34.9208    34.9237     6.4992    1473.27    27.5869    27.5890
    106.000     5.2334     5.2312   3.364928   3.364932     2.5068    -0.2166     0.3970    34.9214 7.3786e+02    104.960    34.9233    34.9255     6.4982    1473.32    27.5879    27.5900
    107.000     5.2262     5.2267   3.363865   3.364412     2.5062    -0.2327     0.4222    34.9205 7.3359e+02    105.950    34.9180    34.9238     6.4985    1473.30    27.5846    27.5892
    108.000     5.1928     5.1930   3.360649   3.361077     2.5060    -0.2375     0.4241    34.9178 7.2889e+02    106.940    34.9153    34.9200     6.5045    1473.18    27.5865    27.5902
    109.000     5.1870     5.1866   3.360431   3.360593     2.5066    -0.2375     0.3977    34.9186 7.2372e+02    107.930    34.9183    34.9205     6.5079    1473.17    27.5895    27.5914
    110.000     5.2016     5.2012   3.361827   3.362017     2.5065    -0.2482     0.3957    34.9184 7.2941e+02    108.920    34.9186    34.9212     6.5060    1473.25    27.5880    27.5901
    111.000     5.1822     5.1869   3.359749   3.360584     2.5045    -0.2366     0.4152    34.9174 7.3527e+02    109.910    34.9144    34.9191     6.5037    1473.18    27.5870    27.5902
